Name	Base Str	Str Scale	Base Con	Con Scale	Base Int	Int Scale	Base Dex	Dex Scale	Base Exp	Exp Scale	Base HP	HP Scale	Weapon Type
test enemy	0	1	0	1	0	1	0	1	3	1	7	3	Sword
goblin	1	0.25	1	0.25	1	0.25	2	0.25	3	1	5	2	Sword
slime	2	0.5	3	1	2	0.2	1	0.2	3	1	3	4	Axe
bat	1	0.25	2	0.5	2	0.25	4	0.75	3	1	2	2	Lance
skeleton	4	0.5	2	0.25	4	0.25	2	0.25	4	1.5	6	3	Sword
wolf	4	0.5	2	0.25	1	0.5	4	0.5	4	1.5	4	2	Lance
orc	3	0.5	3	0.25	3	0.25	3	0.25	4	1.5	3	4	Axe
troll	5	1	5	1	1	0.1	2	0.25	5	2	5	3	Axe
ghost	1	0.25	1	0.25	1	0.25	10	2	4	1.5	5	1	Sword
automaton	6	1	3	0.5	0	0	2	0.5	4	1.5	12	1	Sword
zombie	2	0.5	7	1	1	0.25	1	0.25	4	1.5	4	3	Lance
monolith	1	0.25	10	2	15	3	20	4	20	10	20	3	Lance
